Node_ID	Mode	EigenVector_UZ
35771	12	-4.30421434252845E-06
35771	14	-1.85523260019453E-05
35771	17	-4.38949048226137E-06
35771	20	0.000215075544608845
35775	10	-2.89298525559253E-05
35775	12	-1.50375297152339E-06
35775	14	4.53476209704394E-06
35775	17	8.44219062524553E-06
35775	20	0.000188895559934752
35776	10	-4.84726000806225E-05
35776	12	-6.2695649273843E-06
35776	14	-1.44701596207815E-05
35776	17	-7.34686981503664E-06
35776	20	0.000205630915297155
35780	10	-2.90059708176932E-05
35780	12	-1.88720696548828E-06
35780	14	4.87803233041371E-06
35780	17	1.0763148148411E-05
35780	20	0.000188007625497617
35781	10	-4.71922884923592E-05
35781	12	-9.14230611631241E-06
35781	14	-1.02141481416558E-05
35781	17	-1.01767753146798E-05
35781	20	0.000194303896105238
35786	10	-5.21099830549271E-05
35786	12	-2.15980064685086E-05
35786	14	9.75941252110728E-07
35786	17	-1.19975020322237E-05
35786	20	0.000179110868675464
35788	10	-8.92886799997566E-05
35788	12	4.80812181191946E-05
35788	14	-1.34011801979138E-05
35788	17	6.36592502350915E-05
35788	20	0.00017318192661024
35791	10	-8.93736356275325E-05
35791	12	2.94251977582343E-05
35791	14	-4.09636486907538E-05
35791	17	6.35256849313971E-05
35791	20	0.000207779751923639
35796	10	-9.51830366333445E-05
35796	12	2.07759738601134E-05
35796	14	-5.79727076569431E-05
35796	17	5.67885612141971E-05
35796	20	0.000238941148022316
35800	10	-0.00010113703744614
35800	12	1.44538323478387E-05
35800	14	-6.90827667820758E-05
35800	17	4.44115371133121E-05
35800	20	0.000262536369307157
35804	10	-0.000104586787080024
35804	12	8.13692051193971E-06
35804	14	-7.49600905091026E-05
35804	17	2.77148382631966E-05
35804	20	0.000276223635098788
35808	10	-0.000104444940476367
35808	12	1.55429832072531E-06
35808	14	-7.54654662534856E-05
35808	17	8.77633178019001E-06
35808	20	0.000278899062321454
35812	10	-0.000100856641200716
35812	12	-4.97541464905495E-06
35812	14	-7.10946861472568E-05
35812	17	-9.9694562126694E-06
35812	20	0.00027104288884746
35816	10	-9.48291655408544E-05
35816	12	-1.11576008723737E-05
35816	14	-6.28006745207926E-05
35816	17	-2.64025863121577E-05
35816	20	0.000254103937770549
35820	10	-8.80464782836732E-05
35820	12	-1.74849228628209E-05
35820	14	-5.14185659130712E-05
35820	17	-3.9449515513755E-05
35820	20	0.00022967784214825
35824	10	-8.36957850209372E-05
35824	12	-2.68992395352664E-05
35824	14	-3.64445511408892E-05
35824	17	-4.91609924184548E-05
35824	20	0.000199363727006339
35828	10	-8.61759810685196E-05
35828	12	-4.73440889264538E-05
35828	14	-1.14817931168233E-05
35828	17	-5.35031495967951E-05
35828	20	0.000165010313945158
35830	10	-0.000130207908044112
35830	12	7.783034930026E-05
35830	14	-3.23754727039807E-05
35830	17	0.000115088183576233
35830	20	0.000150728548025356
35833	10	-0.000134072109697041
35833	12	5.35671486973375E-05
35833	14	-7.16132364773325E-05
35833	17	0.000110835595640165
35833	20	0.000203198563165528
35838	10	-0.000144719501749133
35838	12	3.87141949386277E-05
35838	14	-0.000101013864131323
35838	17	9.80797788419953E-05
35838	20	0.000253345490709309
35842	10	-0.0001555435594834
35842	12	2.69407983042032E-05
35842	14	-0.000121506078461243
35842	17	7.58122537674195E-05
35842	20	0.000292745066702499
35846	10	-0.000162488250370254
35846	12	1.52515253220401E-05
35846	14	-0.000133176336688379
35846	17	4.57737356775162E-05
35846	20	0.000316866849951421
35850	10	-0.000163673001590519
35850	12	3.08223912506018E-06
35850	14	-0.000135774520432021
35850	17	1.13546727182017E-05
35850	20	0.00032354280658148
35854	10	-0.000158912628430131
35854	12	-9.15097571597244E-06
35854	14	-0.000129620998761848
35854	17	-2.32938284191314E-05
35854	20	0.000312665015935826
35858	10	-0.000149438795520444
35858	12	-2.10841095938468E-05
35858	14	-0.000115670086415587
35858	17	-5.4271049394016E-05
35858	20	0.000285760641997753
35862	10	-0.000137866337569279
35862	12	-3.34902234322865E-05
35862	14	-9.49343262807306E-05
35862	17	-7.88424943760767E-05
35862	20	0.000245531018294649
35866	10	-0.000128341417621915
35866	12	-4.96543754258703E-05
35866	14	-6.71668402609474E-05
35866	17	-9.55953060007561E-05
35866	20	0.000195831412663142
35870	10	-0.000126408816105344
35870	12	-7.58608800140151E-05
35870	14	-3.00863772374288E-05
35870	17	-0.000104364727597877
35870	20	0.000143371896132078
35872	10	-0.000171287175944342
35872	12	0.000106225118329028
35872	14	-5.46667528557603E-05
35872	17	0.000167790007943314
35872	20	0.00012002127654844
35875	10	-0.000179571330364913
35875	12	7.84086540456162E-05
35875	14	-0.000102686649377247
35875	17	0.000158858593982751
35875	20	0.000185677963127664
35880	10	-0.000195521702222123
35880	12	5.84375693472875E-05
35880	14	-0.000142626040855398
35880	17	0.000139417216865709
35880	20	0.000250368559629884
35884	10	-0.000211336735747366
35884	12	4.09392069552341E-05
35884	14	-0.000172070587780217
35884	17	0.000106887521283004
35884	20	0.000302549392348337
35888	10	-0.000221916423757508
35888	12	2.31237367609309E-05
35888	14	-0.000189654996018284
35888	17	6.31409953402327E-05
35888	20	0.000335526575321176
35892	10	-0.000224585468262231
35892	12	4.49203524720493E-06
35892	14	-0.000194524676266121
35892	17	1.28650434434731E-05
35892	20	0.00034579721439069
35896	10	-0.000218828984759199
35896	12	-1.43551489744202E-05
35896	14	-0.000186737844144805
35896	17	-3.80478647606817E-05
35896	20	0.000332634556513148
35900	10	-0.000206055914805604
35900	12	-3.28031617339188E-05
35900	14	-0.000167289841699909
35900	17	-8.37236495915974E-05
35900	20	0.000297724724277513
35904	10	-0.000189498965682903
35904	12	-5.14483728245968E-05
35904	14	-0.000137596143083201
35904	17	-0.000119661587785963
35904	20	0.000244871900546071
35908	10	-0.000174213800723343
35908	12	-7.31448990930859E-05
35908	14	-9.8827680359641E-05
35908	17	-0.000143776903061501
35908	20	0.000180231338971978
35912	10	-0.000167318602038234
35912	12	-0.000103093876044466
35912	14	-5.25178490502617E-05
35912	17	-0.00015753760807178
35912	20	0.000114219110462917
35914	10	-0.000208088897951349
35914	12	0.000130218607154383
35914	14	-7.77161791728562E-05
35914	17	0.000215790027255086
35914	20	8.24430817704063E-05
35917	10	-0.000220645608862905
35917	12	0.000100919883304981
35917	14	-0.000130858135574104
35917	17	0.000202569136296499
35917	20	0.00015493409108861
35922	10	-0.000241494807053628
35922	12	7.73987060885551E-05
35922	14	-0.000177920073758526
35922	17	0.000176705866045705
35922	20	0.000227411215314839
35926	10	-0.000261865657603465
35926	12	5.48133115049997E-05
35926	14	-0.000214181139331613
35926	17	0.000134511710859738
35926	20	0.000287100290093821
35930	10	-0.000275805391687169
35930	12	3.08804611715419E-05
35930	14	-0.000236708208431431
35930	17	7.80439952375726E-05
35930	20	0.000325769754968562
35934	10	-0.000279876595413096
35934	12	5.58602070458811E-06
35934	14	-0.000243564777450374
35934	17	1.31812028021299E-05
35934	20	0.00033854519936524
35938	10	-0.000273253231180134
35938	12	-2.00585982419901E-05
35938	14	-0.000234426908361875
35938	17	-5.26096695698769E-05
35938	20	0.000324155135071916
35942	10	-0.000257561173687486
35942	12	-4.49075100005104E-05
35942	14	-0.000210570224495938
35942	17	-0.000111601794357743
35942	20	0.00028465941706501
35946	10	-0.000236482030884536
35946	12	-6.89995750651985E-05
35946	14	-0.000174114971728348
35946	17	-0.000157830079380124
35946	20	0.000224646165861299
35950	10	-0.000215958539419365
35950	12	-9.45266176294141E-05
35950	14	-0.000127902003732407
35950	17	-0.000188726421811845
35950	20	0.000152003402104135
35954	10	-0.000204372879479298
35954	12	-0.000126073045738549
35954	14	-7.61222243115389E-05
